bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  False O94 0 58542.543673948094 0.34 37.67209755800702 0.08095677859203639 1.0 0.03 0 0.06 None None None None
c-o  False F19 6 None None None None None None None None None None None None
c-o-ztfg  True F19 6 58520.29651278456 1.764697609849225 38.037858165997584 0.2680968574350939 1.2173653754234781 0.11715509849178106 0.2671881286892876 0.19921283726640618 0.682 0.679 0.757 0.76
c-o-ztfg-ztfr  True O94 0 58520.06703776438 1.8702609835226098 37.78447714607134 0.2762042961802273 1.2401189722531072 0.11643334279911723 0.32169634700054023 0.17606524785730315 0.77 0.767 0.712 0.716
c-o-ztfg-ztfr  True F19 6 58520.20322109906 1.5321107424861369 37.88828064643633 0.21762866632866082 1.226663246756524 0.09717277043125683 0.3424089490025719 0.16855469867378967 0.804 0.8 0.675 0.679
c-o-ztfr  True F19 6 58524.189036365926 1.0099953260700778 37.853927716508224 0.2042006583771886 0.9132071219616474 0.08365015704667476 0.1280228476716511 0.16541544531257257 0.509 0.508 0.921 0.922
c-ztfg-ztfr  True F19 6 58514.38424670468 2.45153961729509 37.28266726528944 0.2715316511127734 1.5606038480854079 0.2271503573361722 0.8947580753161315 0.1513391616137246 1.403 1.393 0.23 0.234
J-c-o 1D3 False O94 0 58565.084505492 0.34 39.01730191361147 0.17081216693490442 1.9247836658461956 0.03 0 0.06 None None None None
J-c-o 1D3 False F19 6 None None None None None None None None None None None None
J-c-o 2D True F19 6 58517.17607475202 1.1140217861846544 37.59680676811612 0.15720020613633853 1.2631751977022943 0.05156575948432053 0.6522435482927844 0.0975047532479696 1.182 0.823 0.273 0.661
J-c-o-ztfg 1D3 True F19 6 58511.27183132234 2.413417100663705 36.52232101278304 0.37994715045182686 1.4516111999646557 0.17756184848676432 1.645310521011239 0.2097266110754197 8.945 3.03 0.0 0.0
J-c-o-ztfg 2D True F19 6 58518.35077397207 1.0417010180894164 37.71452015595271 0.1449210258079408 1.2365197396347172 0.049468921568011026 0.521871025124441 0.09382550543640622 1.358 1.023 0.147 0.428
J-c-o-ztfg-ztfr 1D3 False O94 0 58511.56418869404 1.4332696910888678 37.734711409079786 0.15491840642269158 1.4822386194737935 0.06865348292804963 0.27568468668016083 0.13239602485197804 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 1 58501.63053748766 2.179588451634521 38.31555108004125 0.3439668943653806 2.159285190460271 0.07045296926265135 -1.2282004276141345 0.26503507655333036 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 2 58503.554330870684 2.1645261890703447 36.584116571766295 0.1680915276189142 2.0264600163188935 0.04584718176489115 0 0.06 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 3 58501.90018837718 2.411747980573423 38.236432140857204 0.2996327293016999 2.0790616327909754 0.07534869616847648 -0.7790558052403969 0.2553002649869769 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 4 58501.62761380329 2.1357751081448555 38.50558008581557 0.32506425372430936 2.1609144495663193 0.06816706944397041 -1.0729435088027712 0.24029526599607506 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 5 58502.935759292486 2.333027997202998 36.34764690641686 0.17989555631993345 2.0600487375383016 0.04751184830591686 0 0.06 None None None None
J-c-o-ztfg-ztfr 1D3 False F19 6 None None None None None None None None None None None None
J-c-o-ztfg-ztfr 1D3 False O94 6 58501.9189798444 1.7604488223615145 38.06038230048769 0.3003923421976502 2.07518346204089 0.0656362637383689 -0.9935140406561132 0.2573543012623094 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 7 58474.8913518912 6.0581466814672 37.89997773478457 0.3599042980273719 2.8304203254976534 0.062485898558119424 1.5725416514155655 0.1407092297735453 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 8 58501.9189798444 1.7604488223615145 38.06038230048769 0.3003923421976502 2.07518346204089 0.0656362637383689 -0.9935140406561132 0.2573543012623094 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 9 58501.9189798444 1.7604488223615145 38.06038230048769 0.3003923421976502 2.07518346204089 0.0656362637383689 -0.9935140406561132 0.2573543012623094 None None None None
J-c-o-ztfg-ztfr 1D3 False O94 13 None None None None None None None None None None None None
J-c-o-ztfg-ztfr 1D3 False O94 14 None None None None None None None None None None None None
