bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 58609.86978534822 2.7985017401120875 7.653610481909329 0.5054466422529479 2.20845988180605 3.517544961566376 -1.1629618485496866 1.9117590951214205 1.247 1.216 0.264 0.27
c-o  True F19 58606.54268579199 0.7084086456807155 7.075551551530502 0.08409654109967053 1.0677419901069083 0.717317876037964 0.04705227566036259 0.08611950993270204 0.443 0.42 0.967 0.974
c-o  True F99 58606.540020983346 0.6758616833800772 7.0785630471703955 0.08102121900820869 1.081721901409145 0.695401143076264 0.037600890969916353 0.0826829164801783 0.443 0.439 0.967 0.968
J 1D3 True F99 58610.33843398355 5.592411623559297 7.227016175763976 54.07840715850845 -19.888267845077493 23.444580536141515 0.3134575922320467 19.25232283205754 -1 -1 -1 -1
J-c 1D3 True F99 58609.137804586804 0.8525754629401379 7.0670844445672 0.07056241664546313 0.047732782080309885 1.0735757813448092 0.02699997834605644 0.04098752074647868 1.354 1.34 0.247 0.252
J-c-o 1D3 True F99 58606.824039303385 0.5444547186996797 7.1057062923536325 0.05736890714573194 0.9651411974410282 0.5976190924710227 0.06934226379950517 0.04017267656683919 0.598 0.588 0.904 0.911
J-c-o 2D True F19 58606.69638104923 0.6058762152220565 7.10365748619402 0.06543562630599221 0.9229472652596074 0.6320424179173441 0.08157394003589297 0.05358993004391596 0.435 0.4 0.981 0.988
J-c-o 2D True F99 58606.722788970146 0.6011169245782637 7.41266157144794 0.06568252336304896 0.889663906867855 0.6284490618913396 0.16204387069802068 0.05368934529682313 3.677 2.878 0.0 0.0
J-c-o 2D True O94 58606.72278427704 0.6007792342091618 7.4126686150184184 0.06563243267857237 0.8896816397261201 0.6282330971653881 0.16204474667146251 0.053626275963900356 3.97 3.101 0.0 0.0
J-o 1D3 True F99 58606.7310248805 0.6611890575934773 7.290925842599839 0.16303885555584807 1.3464534589671215 0.9045020954617291 0.14422299806346378 0.078888406154723 0.848 0.842 0.609 0.615
o  True F99 58606.49815421817 0.8217082742029745 9.448343853541786 3.7802920603156642 0.624200575104302 1.7838168598201736 0.8610684975987729 2.455543197303922 0.422 0.421 0.937 0.937
