# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
19dwz SNIFS 0.04607963148708845 5.1979772943272495e-06 7.836277870210129e-07 4.071500749681782 s
19dwz SNIFS 0.04607942562666246 3.4142202076647976e-07 1.0902931638676061e-05 4.139416884401854 s
19ved SNIFS 0.05158913577264398 1.1614975958092189e-05 8.700353623734836e-06 1.6637493282808278 n
19vdg SNIFS 0.03622846255440269 1.979881609701084e-07 1.1394373512010891e-06 3.8722374309447956 s
19bse SNIFS 0.010374931147273624 6.152391478733005e-05 0.00012538254015809214 3.467906492326549 n
19ywf SNIFS 0.0386036469511122 6.860713051559664e-07 7.498929564656032e-06 4.082410602667286 s
19vnk SNIFS 0.08959253202793926 6.227237018013865e-06 3.864198240846606e-06 2.700100234893052 w
19fxp SNIFS 0.05065021533246532 9.145333004362266e-07 1.4074319794998846e-05 4.31117575881575 w
20aar SNIFS 0.042290790631077206 1.147861365342201e-05 3.7493106530353537e-06 1.4904043228650001 w
19ved SNIFS 0.049187290395893646 2.622918615517722e-06 2.6900935190324327e-06 1.2419503201947073 n
19bgs SNIFS 0.0768543405851095 9.87191513307506e-06 2.167115295634292e-05 4.36070394595971 s
19cnb SNIFS 0.07455395520936525 1.3194017980971973e-05 9.245193590370904e-06 2.2024314368318665 n
20jge SNIFS 0.061991302207248924 4.685045688936074e-06 7.53384550315761e-06 3.296769911298189 s
20jwl SNIFS 0.05710965325669689 1.7765664682783955e-05 2.0006431415114934e-05 4.030243732000231 s
19ihl SNIFS 0.06985144473581878 3.4679689063510377e-06 9.796634076075783e-06 1.9151090248308564 w
20vbv SNIFS 0.03488973300237255 4.050831087967777e-06 6.529567092294908e-07 3.557090381262621 n
20uec SNIFS 0.027094097333686527 1.6117855096801914e-06 3.889330701962318e-06 4.272348471251361 s
20til SNIFS 0.07512172992684907 4.579989490327563e-06 3.654265483710173e-06 1.9047346109257404 n
20ndv SNIFS 0.037397871013915805 1.788717064785117e-06 6.5791435671092025e-06 4.383524473704601 s
19gbh SNIFS 0.06724818410378716 6.3735646631396525e-06 6.17337928317252e-06 1.3756841612803667 w
19eow SNIFS 0.07063951328609433 4.5092372742833176e-06 2.3115239772553142e-06 3.3950797396340753 w
19eow SNIFS 0.07088920027991241 3.4337525476879627e-06 0.000394256980602678 3.452923899352721 s
20jdo SNIFS 0.07157321331532614 1.1506761140020472e-05 1.5386409702264348e-05 2.228553317777215 s
20nin SNIFS 0.08070756786320477 1.9460263628881536e-05 6.033537190092142e-05 2.505476140076862 w
20oyd SNIFS 0.07505395746792537 3.935156102530257e-06 3.53300954936131e-06 2.5305541508081313 n
19wfa SNIFS 0.06022160656053212 1.0182925666749054e-05 1.2534958549366426e-05 3.9595427199754503 s
20yvg SNIFS 0.0901502965965792 1.2367454899908648e-06 1.2760865596511684e-05 3.67864462271435 s
20tfc SNIFS 0.038500827876394264 1.720141230920208e-05 3.079876921392721e-05 2.8631975250425192 s
